cost = 0.248622, w1 = 2.456460, w2 = -2.588298
cost = 0.248622, w1 = 2.456461, w2 = -2.588166
cost = 0.248622, w1 = 2.456462, w2 = -2.588035
cost = 0.248621, w1 = 2.456463, w2 = -2.587903
cost = 0.248621, w1 = 2.456465, w2 = -2.587771
cost = 0.248621, w1 = 2.456466, w2 = -2.587640
cost = 0.248621, w1 = 2.456467, w2 = -2.587508
cost = 0.248621, w1 = 2.456468, w2 = -2.587377
cost = 0.248620, w1 = 2.456469, w2 = -2.587245
cost = 0.248620, w1 = 2.456470, w2 = -2.587114
cost = 0.248620, w1 = 2.456470, w2 = -2.586982
cost = 0.248620, w1 = 2.456471, w2 = -2.586851
cost = 0.248619, w1 = 2.456472, w2 = -2.586719
cost = 0.248619, w1 = 2.456473, w2 = -2.586588
cost = 0.248619, w1 = 2.456474, w2 = -2.586456
cost = 0.248619, w1 = 2.456475, w2 = -2.586325
cost = 0.248618, w1 = 2.456476, w2 = -2.586194
cost = 0.248618, w1 = 2.456477, w2 = -2.586062
cost = 0.248618, w1 = 2.456478, w2 = -2.585931
cost = 0.248618, w1 = 2.456479, w2 = -2.585799
cost = 0.248618, w1 = 2.456481, w2 = -2.585668
cost = 0.248617, w1 = 2.456482, w2 = -2.585537
cost = 0.248617, w1 = 2.456483, w2 = -2.585405
cost = 0.248617, w1 = 2.456484, w2 = -2.585274
cost = 0.248617, w1 = 2.456485, w2 = -2.585143
cost = 0.248616, w1 = 2.456486, w2 = -2.585011
cost = 0.248616, w1 = 2.456488, w2 = -2.584880
cost = 0.248616, w1 = 2.456489, w2 = -2.584749
cost = 0.248616, w1 = 2.456490, w2 = -2.584617
cost = 0.248615, w1 = 2.456491, w2 = -2.584486
cost = 0.248615, w1 = 2.456492, w2 = -2.584355
cost = 0.248615, w1 = 2.456493, w2 = -2.584224
cost = 0.248615, w1 = 2.456494, w2 = -2.584093
cost = 0.248615, w1 = 2.456495, w2 = -2.583961
cost = 0.248614, w1 = 2.456496, w2 = -2.583830
cost = 0.248614, w1 = 2.456497, w2 = -2.583699
cost = 0.248614, w1 = 2.456498, w2 = -2.583568
cost = 0.248614, w1 = 2.456499, w2 = -2.583437
cost = 0.248613, w1 = 2.456500, w2 = -2.583306
cost = 0.248613, w1 = 2.456501, w2 = -2.583174
cost = 0.248613, w1 = 2.456501, w2 = -2.583043
cost = 0.248613, w1 = 2.456502, w2 = -2.582912
cost = 0.248612, w1 = 2.456504, w2 = -2.582781
cost = 0.248612, w1 = 2.456505, w2 = -2.582650
cost = 0.248612, w1 = 2.456506, w2 = -2.582519
cost = 0.248612, w1 = 2.456507, w2 = -2.582388
cost = 0.248612, w1 = 2.456508, w2 = -2.582257
cost = 0.248611, w1 = 2.456510, w2 = -2.582126
cost = 0.248611, w1 = 2.456511, w2 = -2.581995
cost = 0.248611, w1 = 2.456512, w2 = -2.581864
cost = 0.248611, w1 = 2.456513, w2 = -2.581733
cost = 0.248610, w1 = 2.456514, w2 = -2.581601
cost = 0.248610, w1 = 2.456515, w2 = -2.581470
cost = 0.248610, w1 = 2.456516, w2 = -2.581340
cost = 0.248610, w1 = 2.456517, w2 = -2.581209
cost = 0.248609, w1 = 2.456518, w2 = -2.581078
cost = 0.248609, w1 = 2.456519, w2 = -2.580947
cost = 0.248609, w1 = 2.456520, w2 = -2.580816
cost = 0.248609, w1 = 2.456521, w2 = -2.580685
cost = 0.248609, w1 = 2.456522, w2 = -2.580554
cost = 0.248608, w1 = 2.456523, w2 = -2.580423
cost = 0.248608, w1 = 2.456524, w2 = -2.580292
cost = 0.248608, w1 = 2.456525, w2 = -2.580162
cost = 0.248608, w1 = 2.456526, w2 = -2.580031
cost = 0.248607, w1 = 2.456527, w2 = -2.579900
cost = 0.248607, w1 = 2.456528, w2 = -2.579769
cost = 0.248607, w1 = 2.456529, w2 = -2.579638
cost = 0.248607, w1 = 2.456530, w2 = -2.579508
cost = 0.248607, w1 = 2.456531, w2 = -2.579377
cost = 0.248606, w1 = 2.456532, w2 = -2.579246
cost = 0.248606, w1 = 2.456534, w2 = -2.579115
cost = 0.248606, w1 = 2.456535, w2 = -2.578984
cost = 0.248606, w1 = 2.456536, w2 = -2.578853
cost = 0.248605, w1 = 2.456537, w2 = -2.578722
cost = 0.248605, w1 = 2.456538, w2 = -2.578592
cost = 0.248605, w1 = 2.456540, w2 = -2.578461
cost = 0.248605, w1 = 2.456541, w2 = -2.578330
cost = 0.248604, w1 = 2.456542, w2 = -2.578200
cost = 0.248604, w1 = 2.456542, w2 = -2.578069
cost = 0.248604, w1 = 2.456543, w2 = -2.577939
cost = 0.248604, w1 = 2.456544, w2 = -2.577808
cost = 0.248604, w1 = 2.456545, w2 = -2.577678
cost = 0.248603, w1 = 2.456546, w2 = -2.577547
cost = 0.248603, w1 = 2.456547, w2 = -2.577417
cost = 0.248603, w1 = 2.456548, w2 = -2.577286
cost = 0.248603, w1 = 2.456549, w2 = -2.577156
cost = 0.248602, w1 = 2.456550, w2 = -2.577025
cost = 0.248602, w1 = 2.456551, w2 = -2.576895
cost = 0.248602, w1 = 2.456552, w2 = -2.576764
cost = 0.248602, w1 = 2.456553, w2 = -2.576634
cost = 0.248601, w1 = 2.456554, w2 = -2.576503
cost = 0.248601, w1 = 2.456555, w2 = -2.576373
cost = 0.248601, w1 = 2.456556, w2 = -2.576242
cost = 0.248601, w1 = 2.456558, w2 = -2.576112
cost = 0.248601, w1 = 2.456559, w2 = -2.575981
cost = 0.248600, w1 = 2.456560, w2 = -2.575851
cost = 0.248600, w1 = 2.456561, w2 = -2.575720
cost = 0.248600, w1 = 2.456562, w2 = -2.575590
cost = 0.248600, w1 = 2.456563, w2 = -2.575459
cost = 0.248599, w1 = 2.456565, w2 = -2.575329
cost = 0.248599, w1 = 2.456566, w2 = -2.575199
cost = 0.248599, w1 = 2.456567, w2 = -2.575068
cost = 0.248599, w1 = 2.456568, w2 = -2.574938
cost = 0.248598, w1 = 2.456568, w2 = -2.574808
cost = 0.248598, w1 = 2.456569, w2 = -2.574678
